model,split,date,month,residual,absolute_error
ANN,test,2023-06-01,6,-200490.78162282333,200490.78162282333
ANN,test,2023-07-01,7,-459202.1336983177,459202.1336983177
ANN,test,2023-08-01,8,-905355.0069680898,905355.0069680898
ANN,test,2023-09-01,9,-672865.5264448347,672865.5264448347
ANN,test,2023-10-01,10,-237446.9588009715,237446.9588009715
ANN,test,2023-11-01,11,-43835.71413863776,43835.71413863776
ANN,test,2023-12-01,12,-647769.929753473,647769.929753473
ANN,test,2024-01-01,1,-243187.39314363897,243187.39314363897
ANN,test,2024-02-01,2,-914412.6654091668,914412.6654091668
ANN,test,2024-03-01,3,-582837.5410118653,582837.5410118653
ANN,test,2024-04-01,4,-33968.97365943622,33968.97365943622
ANN,test,2024-05-01,5,-350983.0015225811,350983.0015225811
ANN,test,2024-06-01,6,-156927.9809466619,156927.9809466619
ANN,test,2024-07-01,7,-241583.09837463917,241583.09837463917
ANN,test,2024-08-01,8,-674468.7085568798,674468.7085568798
ANN,test,2024-09-01,9,-284771.66171407886,284771.66171407886
ANN,test,2024-10-01,10,411122.7688913131,411122.7688913131
ANN,test,2024-11-01,11,409578.0564109329,409578.0564109329
ANN,test,2024-12-01,12,-393846.5567210857,393846.5567210857
LSTM,validation,2020-01-01,1,568952.7999999998,568952.7999999998
LSTM,validation,2020-02-01,2,332873.5,332873.5
LSTM,validation,2020-03-01,3,-64514.700000000186,64514.700000000186
LSTM,validation,2020-04-01,4,88283.0,88283.0
LSTM,validation,2020-05-01,5,335068.2999999998,335068.2999999998
LSTM,validation,2020-06-01,6,-203005.5,203005.5
LSTM,validation,2020-07-01,7,-474193.1000000001,474193.1000000001
LSTM,validation,2020-08-01,8,-179164.1000000001,179164.1000000001
LSTM,validation,2020-09-01,9,-383135.1000000001,383135.1000000001
LSTM,validation,2020-10-01,10,174789.6000000001,174789.6000000001
LSTM,validation,2020-11-01,11,-144891.7000000002,144891.7000000002
LSTM,validation,2020-12-01,12,-160540.2999999998,160540.2999999998
LSTM,validation,2021-01-01,1,330214.9000000004,330214.9000000004
LSTM,validation,2021-02-01,2,332194.0999999996,332194.0999999996
LSTM,validation,2021-03-01,3,383322.7000000002,383322.7000000002
LSTM,validation,2021-04-01,4,-169037.7000000002,169037.7000000002
LSTM,validation,2021-05-01,5,288712.5,288712.5
LSTM,validation,2021-06-01,6,-323080.7999999998,323080.7999999998
LSTM,validation,2021-07-01,7,-191708.8999999999,191708.8999999999
LSTM,validation,2021-08-01,8,392470.3999999999,392470.3999999999
LSTM,validation,2021-09-01,9,120082.69999999972,120082.69999999972
LSTM,validation,2021-10-01,10,98290.1000000001,98290.1000000001
LSTM,validation,2021-11-01,11,-40988.200000000186,40988.200000000186
LSTM,validation,2021-12-01,12,354157.2000000002,354157.2000000002
LSTM,test,2022-01-01,1,445280.0,445280.0
LSTM,test,2022-02-01,2,189303.2999999998,189303.2999999998
LSTM,test,2022-03-01,3,792622.2000000002,792622.2000000002
LSTM,test,2022-04-01,4,1029366.4000000004,1029366.4000000004
LSTM,test,2022-05-01,5,403658.2000000002,403658.2000000002
LSTM,test,2022-06-01,6,-825405.2999999998,825405.2999999998
LSTM,test,2022-07-01,7,-110646.69999999972,110646.69999999972
LSTM,test,2022-08-01,8,472726.7000000002,472726.7000000002
LSTM,test,2022-09-01,9,-30793.600000000093,30793.600000000093
LSTM,test,2022-10-01,10,181091.8999999999,181091.8999999999
LSTM,test,2022-11-01,11,399274.7999999998,399274.7999999998
LSTM,test,2022-12-01,12,609914.9000000004,609914.9000000004
LSTM,test,2023-01-01,1,1102886.0,1102886.0
LSTM,test,2023-02-01,2,598922.5,598922.5
LSTM,test,2023-03-01,3,384088.7999999998,384088.7999999998
LSTM,test,2023-04-01,4,279406.5,279406.5
LSTM,test,2023-05-01,5,935736.7999999998,935736.7999999998
LSTM,test,2023-06-01,6,-189494.7000000002,189494.7000000002
LSTM,test,2023-07-01,7,-358702.5,358702.5
LSTM,test,2023-08-01,8,-138408.40000000037,138408.40000000037
LSTM,test,2023-09-01,9,-651525.4000000004,651525.4000000004
LSTM,test,2023-10-01,10,-162515.40000000037,162515.40000000037
LSTM,test,2023-11-01,11,70042.3999999999,70042.3999999999
LSTM,test,2023-12-01,12,81999.90000000037,81999.90000000037
LSTM,test,2024-01-01,1,96270.09999999963,96270.09999999963
LSTM,test,2024-02-01,2,-280551.1000000001,280551.1000000001
LSTM,test,2024-03-01,3,-210090.09999999963,210090.09999999963
LSTM,test,2024-04-01,4,294904.5999999996,294904.5999999996
LSTM,test,2024-05-01,5,-1159.7000000001863,1159.7000000001863
LSTM,test,2024-06-01,6,-516274.5,516274.5
LSTM,test,2024-07-01,7,-197806.0,197806.0
LSTM,test,2024-08-01,8,-177275.8999999999,177275.8999999999
LSTM,test,2024-09-01,9,-561891.6000000001,561891.6000000001
LSTM,test,2024-10-01,10,640965.0,640965.0
LSTM,test,2024-11-01,11,788432.5999999996,788432.5999999996
LSTM,test,2024-12-01,12,365923.0,365923.0
